User_ID,User_Age,User_Gender,User_State,Artisan_State,Request_Date_Time,Artisan_ID,Skill_Type,Artisan_Age,Scheduling_Preference,Premium_Service,Payment_Method,Availability,Popularity,User_Rating,Artisan_Rating,Successful,Artisan_Name,User_Local_Government_Area,Artisan_Local_Government_Area,,Artisan_Gender
U1,28,Female,Oyo,Oyo,2023-01-01 0:00:00,Fat-0002,Dressmaker,49,Advance,Yes,Online Payment,Available,Low,2.784408519,1.695451797,No,Fatima Abubakar,Ori Ire,Ori Ire,,Female
U2,27,Male,Kebbi,Kebbi,2023-01-01 0:26:13,Olu-0003,Painter,44,Advance,Yes,Online Payment,Available,Low,4.028449954,4.738334024,No,Olumide Ajayi,Kalgo,Kalgo,,Male
U3,33,Female,Kebbi,Kebbi,2023-01-01 0:52:25,Olu-0004,Gardener,21,On-Demand,Yes,Card,Available,Medium,3.62451969,1.165705263,No,Olumide Ogunlana,Koko/Besse,Koko/Besse,,Male
U4,42,Female,Rivers,Rivers,2023-01-01 1:18:38,Uma-0005,Makeup Artist,59,Advance,No,Card,Available,High,4.42316751,1.673121055,No,Umar Ali,Eleme,Eleme,,Male
U5,59,Female,Borno,Borno,2023-01-01 1:44:50,Uma-0006,Hairdresser,56,Advance,No,Card,Available,Medium,4.44403078,3.845628836,No,Umar Sani,Abadam,Abadam,,Male
U6,24,Male,Taraba,Taraba,2023-01-01 2:11:03,Hau-0007,Graphic Designer,34,On-Demand,No,Online Payment,Available,Medium,1.008250046,1.148799374,No,Hauwa Yusuf,Jalingo,Jalingo,,Female
U7,51,Male,Imo,Imo,2023-01-01 2:37:15,Yus-0008,Shoe Cobbler,51,On-Demand,No,Cash,Available,Medium,4.088911418,1.402261447,No,Yusuf Hassan,Isiala Mbano,Isiala Mbano,,Male
U8,54,Female,Borno,Borno,2023-01-01 3:03:28,Ade-0009,Gardener,64,Advance,No,Card,Available,High,4.23774002,3.1036904,No,Adetokunbo Ogunlana,Jere,Jere,,Male
U9,33,Male,Bayelsa,Bayelsa,2023-01-01 3:29:40,Olu-0010,Mechanic,20,Advance,Yes,Online Payment,Available,High,3.000103971,3.784364392,No,Olufemi Ogunleye,Ogbia,Ogbia,,Male
U10,46,Female,Ebonyi,Ebonyi,2023-01-01 3:55:53,Yus-0011,Tailor,38,On-Demand,Yes,Card,Available,High,2.601908689,4.544477306,No,Yusuf Muhammad,Afikpo,Afikpo,,Male
U11,22,Male,Plateau,Plateau,2023-01-01 4:22:06,Nne-0012,Makeup Artist,21,Advance,Yes,Card,Available,High,3.023218152,4.192518072,Yes,Nneka Onyeka,Langtang North,Langtang North,,Female
U12,68,Male,Kebbi,Kebbi,2023-01-01 4:48:18,Olu-0013,Gardener,52,Advance,Yes,Card,Available,High,2.946988914,2.83047037,No,Olumide Adegbola,Wasagu/Danko,Wasagu/Danko,,Male
U13,45,Female,Osun,Osun,2023-01-01 5:14:31,Chu-0014,Photographer,28,On-Demand,Yes,Cash,Available,Low,2.216803884,4.326469345,No,Chukwudi Nwankwo,Ifelodun,Ifelodun,,Male
U14,54,Female,Gombe,Gombe,2023-01-01 5:40:43,Chi-0015,Gardener,32,On-Demand,No,Cash,Available,High,3.597866901,3.950836866,No,Chizoba Onyeka,Yamaltu/Delta.,Yamaltu/Delta.,,Female
U15,60,Male,Rivers,Rivers,2023-01-01 6:06:56,Ali-0016,Gardener,43,On-Demand,Yes,Card,Available,High,2.397217536,1.182484178,No,Aliyu Sani,Ogba/Egbema/Ndoni,Ogba/Egbema/Ndoni,,Male
U16,37,Female,Enugu,Enugu,2023-01-01 6:33:08,Olu-0017,Furniture Maker,24,Advance,Yes,Card,Available,Medium,1.786998871,2.911369874,Yes,Oluwatoyin Olawale,Isi-Uzo,Isi-Uzo,,Female
U17,41,Female,Taraba,Taraba,2023-01-01 6:59:21,Olu-0018,Dressmaker,38,Advance,Yes,Cash,Available,Medium,4.393859051,3.137541375,No,Oluwatobi Adebiyi,Sardauna,Sardauna,,Male
U18,21,Female,Kaduna,Kaduna,2023-01-01 7:25:33,Chi-0019,Tailor,69,Advance,No,Card,Available,Medium,3.302466824,4.09484281,No,Chidinma Ibe,Kaduna South,Kaduna South,,Female
U19,25,Female,Ogun,Ogun,2023-01-01 7:51:46,Olu-0020,Graphic Designer,46,On-Demand,No,Cash,Available,Medium,1.264447312,2.086470817,Yes,Olufemi Ogunlana,Odeda,Odeda,,Male
U20,27,Female,Abia,Abia,2023-01-01 8:17:59,Ali-0021,Tailor,21,On-Demand,Yes,Card,Available,Medium,4.413162325,2.961383578,No,Aliyu Abubakar,Umuahia North,Umuahia North,,Male
U21,37,Female,Jigawa,Jigawa,2023-01-01 8:44:11,Chi-0022,Plumber,66,Advance,Yes,Cash,Available,Low,4.92678717,2.527070148,No,Chidinma Eze,Biriniwa,Biriniwa,,Female
U22,68,Male,Taraba,Taraba,2023-01-01 9:10:24,Fat-0023,Dressmaker,45,On-Demand,Yes,Online Payment,Available,Low,3.865150481,3.644747652,Yes,Fatima Ibrahim,Jalingo,Jalingo,,Female
U23,68,Male,Ebonyi,Ebonyi,2023-01-01 9:36:36,Olu-0024,Dressmaker,50,Advance,No,Online Payment,Available,High,3.023687143,4.266250858,Yes,Olumide Ajayi,Ezza,Ezza,,Male
U24,55,Male,Plateau,Plateau,2023-01-01 10:02:49,Ali-0025,Mechanic,24,Advance,Yes,Cash,Available,High,1.345772492,4.952812743,No,Aliyu Hassan,Langtang South,Langtang South,,Male
U25,66,Male,Imo,Imo,2023-01-01 10:29:01,Abu-0026,Dressmaker,60,Advance,No,Card,Available,Medium,2.690842814,3.450827211,Yes,Abubakar Abubakar,Isiala Mbano,Isiala Mbano,,Male
U26,37,Male,Plateau,Plateau,2023-01-01 10:55:14,Olu-0027,Plumber,50,Advance,No,Card,Available,High,1.378016163,2.390545689,No,Oluwakemi Ogunlana,Pankshin,Pankshin,,Female
U27,50,Female,Taraba,Taraba,2023-01-01 11:21:27,Chu-0028,Gardener,49,Advance,No,Online Payment,Available,High,3.57057745,2.813511787,No,Chukwudi Ibe,Bali,Bali,,Male
U28,69,Female,Anambra,Anambra,2023-01-01 11:47:39,Hau-0029,Hairdresser,18,On-Demand,No,Card,Available,Low,3.314907275,1.043856275,Yes,Hauwa Abubakar,Anambra West,Anambra West,,Female
U29,27,Male,Bauchi,Bauchi,2023-01-01 12:13:52,Chi-0030,Mechanic,44,Advance,Yes,Card,Available,High,1.932496639,2.147830641,Yes,Chizoba Nwankwo,Zaki,Zaki,,Female
U30,70,Female,Bayelsa,Bayelsa,2023-01-01 12:40:04,Chi-0031,Event Planner,68,On-Demand,No,Card,Available,High,4.897785102,3.650119336,Yes,Chinonso Ibe,Ogbia,Ogbia,,Male
U31,63,Female,Imo,Imo,2023-01-01 13:06:17,Hau-0032,Shoe Cobbler,31,Advance,Yes,Online Payment,Available,High,1.186494696,4.339080367,No,Hauwa Muhammad,Mbaitoli,Mbaitoli,,Female
U32,58,Male,Delta,Delta,2023-01-01 13:32:29,Olu-0033,Electrician,62,Advance,Yes,Cash,Available,Low,1.318900997,1.610291712,No,Olumide Adebiyi,Ika South,Ika South,,Male
U33,62,Male,Lagos,Lagos,2023-01-01 13:58:42,Olu-0034,Plumber,42,Advance,No,Cash,Available,High,4.818933637,1.207677713,Yes,Oluwakemi Adegbola,Ojo,Ojo,,Female
U34,49,Male,Bayelsa,Bayelsa,2023-01-01 14:24:54,Obi-0035,Carpenter,28,Advance,Yes,Cash,Available,Medium,3.545379824,4.611298268,No,Obinna Okeke,Yenegoa,Yenegoa,,Male
U35,70,Male,Plateau,Plateau,2023-01-01 14:51:07,Bab-0036,Carpenter,44,Advance,Yes,Card,Available,Low,1.97890143,2.906859024,No,Babatunde Ogunlana,Jos North,Jos North,,Male
U36,35,Female,Osun,Osun,2023-01-01 15:17:20,Yus-0037,Shoe Cobbler,63,Advance,No,Card,Available,High,3.205209379,1.68940053,Yes,Yusuf Yusuf,Isokan,Isokan,,Male
U37,59,Female,Kogi,Kogi,2023-01-01 15:43:32,Uma-0038,Caterer,53,Advance,No,Card,Available,Medium,1.694091557,1.055579068,Yes,Umar Ali,Ijumu,Ijumu,,Male
U38,43,Male,Taraba,Taraba,2023-01-01 16:09:45,Obi-0039,Furniture Maker,63,Advance,Yes,Cash,Available,Medium,1.910190216,1.766464645,Yes,Obinna Eze,Kurmi,Kurmi,,Male
U39,26,Female,Oyo,Oyo,2023-01-01 16:35:57,Chi-0040,Barber,55,Advance,No,Cash,Available,High,2.384123999,2.097784523,No,Chinonso Okoye,Orelope,Orelope,,Male
U40,21,Female,Taraba,Taraba,2023-01-01 17:02:10,Hau-0041,Gardener,57,Advance,No,Online Payment,Available,Medium,4.841916024,2.780368301,No,Hauwa Umar,Sardauna,Sardauna,,Female
U41,57,Male,Ebonyi,Ebonyi,2023-01-01 17:28:22,Obi-0042,Carpenter,53,On-Demand,Yes,Cash,Available,Low,3.55496244,1.537273046,Yes,Obinna Ibe,Abakaliki,Abakaliki,,Male
U42,29,Male,Katsina,Katsina,2023-01-01 17:54:35,Olu-0043,Electrician,69,On-Demand,Yes,Cash,Available,High,3.778955405,3.083437523,No,Olufemi Ogunleye,Sandamu,Sandamu,,Male
U43,43,Male,Abia,Abia,2023-01-01 18:20:47,Abu-0044,Tiler,33,On-Demand,Yes,Cash,Available,High,4.689750448,3.045239363,No,Abubakar Hassan,Ukwa West,Ukwa West,,Male
U44,25,Female,Sokoto,Sokoto,2023-01-01 18:47:00,Uma-0045,Gardener,28,Advance,No,Online Payment,Available,High,3.475850979,3.918739218,No,Umar Muhammad,Goronyo,Goronyo,,Male
U45,31,Male,Imo,Imo,2023-01-01 19:13:13,Uma-0046,Caterer,58,On-Demand,Yes,Cash,Available,Low,3.275418976,3.569650222,No,Umar Ali,Ihitte/Uboma,Ihitte/Uboma,,Male
U46,60,Female,Taraba,Taraba,2023-01-01 19:39:25,Olu-0047,Plumber,45,Advance,No,Card,Available,Medium,2.292671957,4.829382596,No,Olumide Ogunleye,Ussa,Ussa,,Male
U47,33,Male,Abia,Abia,2023-01-01 20:05:38,Uma-0048,Dressmaker,52,On-Demand,No,Card,Available,Medium,4.083968278,4.303826386,No,Umar Muhammad,Arochukwu,Arochukwu,,Male
U48,49,Male,Rivers,Rivers,2023-01-01 20:31:50,Ais-0049,Shoe Cobbler,48,Advance,Yes,Card,Available,Medium,3.78917017,2.327446412,Yes,Aisha Sani,Omumma,Omumma,,Female
U49,25,Male,Oyo,Oyo,2023-01-01 20:58:03,Uch-0050,Barber,54,Advance,Yes,Card,Available,Low,3.475927248,1.552643137,No,Uchechi Onyeka,Saki East,Saki East,,Female
U50,28,Male,Adamawa,Adamawa,2023-01-01 21:24:15,Sad-0051,Plumber,32,Advance,Yes,Cash,Available,Low,1.24720587,1.021987748,No,Sadiya Yusuf,Numan,Numan,,Male
U51,67,Male,Ogun,Ogun,2023-01-01 21:50:28,Obi-0052,Painter,19,On-Demand,No,Online Payment,Available,Medium,1.164299854,3.851401092,Yes,Obinna Okafor,Abeokuta North,Abeokuta North,,Male
U52,51,Male,Taraba,Taraba,2023-01-01 22:16:40,Ade-0053,Gardener,28,Advance,Yes,Online Payment,Available,Medium,3.691447659,4.590360885,Yes,Adetokunbo Adebiyi,Takum,Takum,,Male
U53,36,Female,Cross River,Cross River,2023-01-01 22:42:53,Olu-0054,Welder,23,Advance,No,Cash,Available,Low,3.655578959,2.073925222,No,Olufemi Olawale,Bekwara,Bekwara,,Male
U54,67,Male,Enugu,Enugu,2023-01-01 23:09:06,Chu-0055,Event Planner,21,Advance,Yes,Cash,Available,High,2.87181296,3.169976824,Yes,Chukwudi Onyeka,Nsukka,Nsukka,,Male
U55,66,Male,Delta,Delta,2023-01-01 23:35:18,Bab-0056,Event Planner,23,On-Demand,Yes,Card,Available,Low,3.547285239,4.747179552,No,Babatunde Adeyemi,Ndokwa West,Ndokwa West,,Male
U56,40,Female,Kaduna,Kaduna,2023-01-02 0:01:31,Sad-0057,Graphic Designer,35,Advance,Yes,Card,Available,Medium,3.498219867,1.947872713,Yes,Sadiya Abubakar,Lere,Lere,,Male
U57,24,Female,Nasarawa,Nasarawa,2023-01-02 0:27:43,Chi-0058,Shoe Cobbler,66,On-Demand,No,Card,Available,Low,1.161288154,2.430675468,Yes,Chizoba Eze,Akwanga,Akwanga,,Female
U58,63,Female,Kaduna,Kaduna,2023-01-02 0:53:56,Olu-0059,Gardener,29,Advance,No,Online Payment,Available,High,3.476936769,4.158811858,No,Olufemi Adegbola,Kagarko,Kagarko,,Male
U59,50,Female,Katsina,Katsina,2023-01-02 1:20:08,Uch-0060,Tiler,51,On-Demand,No,Online Payment,Available,Low,3.778050141,1.732415894,Yes,Uchechi Okafor,Mai'Adua,Mai'Adua,,Female
U60,19,Female,Ebonyi,Ebonyi,2023-01-02 1:46:21,Fat-0061,Shoe Cobbler,64,Advance,Yes,Cash,Available,Low,4.017413649,3.072391229,No,Fatima Sani,Ezza South,Ezza South,,Female
U61,22,Female,Ekiti,Ekiti,2023-01-02 2:12:34,Olu-0062,Hairdresser,69,Advance,Yes,Online Payment,Available,Medium,3.671649098,4.024690465,No,Oluwatoyin Adegbola,Oye,Oye,,Female
U62,47,Male,Ebonyi,Ebonyi,2023-01-02 2:38:46,Ais-0063,Painter,67,On-Demand,No,Online Payment,Available,Low,1.04893986,2.820352679,No,Aisha Ali,Ezza South,Ezza South,,Female
U63,18,Male,Cross River,Cross River,2023-01-02 3:04:59,Ali-0064,Hairdresser,62,Advance,No,Online Payment,Available,High,1.84324712,4.939977655,No,Aliyu Sani,Abi,Abi,,Male
U64,36,Female,Osun,Osun,2023-01-02 3:31:11,Uma-0065,Dressmaker,38,Advance,Yes,Card,Available,High,3.253036641,3.419137056,No,Umar Abubakar,Boripe,Boripe,,Male
U65,69,Male,Delta,Delta,2023-01-02 3:57:24,Fat-0066,Tiler,70,Advance,Yes,Cash,Available,High,2.422025066,3.56242346,No,Fatima Ibrahim,Warri South,Warri South,,Female
U66,48,Male,Edo,Edo,2023-01-02 4:23:36,Olu-0067,Welder,68,On-Demand,Yes,Cash,Available,Medium,2.06612858,2.830256333,No,Oluwaseun Adeyemi,Central,Central,,Male
U67,60,Female,Plateau,Plateau,2023-01-02 4:49:49,Hau-0068,Dressmaker,29,Advance,Yes,Cash,Available,Medium,1.426204292,1.708364526,Yes,Hauwa Abubakar,Langtang South,Langtang South,,Female
U68,54,Male,Abia,Abia,2023-01-02 5:16:01,Obi-0069,Tailor,56,Advance,Yes,Cash,Available,High,1.067012328,3.384655358,Yes,Obinna Onyeka,Umuahia South,Umuahia South,,Male
U69,24,Female,Osun,Osun,2023-01-02 5:42:14,Ais-0070,Caterer,46,On-Demand,No,Online Payment,Available,Low,1.061354872,2.745986581,No,Aisha Ali,Odo-Otin,Odo-Otin,,Female
U70,28,Male,Abia,Abia,2023-01-02 6:08:27,Olu-0071,Welder,30,On-Demand,Yes,Cash,Available,High,1.207182642,1.975391909,Yes,Olumide Ojo,Ikwuano,Ikwuano,,Male
U71,28,Male,Bayelsa,Bayelsa,2023-01-02 6:34:39,Abu-0072,Mechanic,49,On-Demand,No,Cash,Available,Medium,3.898178181,2.279015232,Yes,Abubakar Abubakar,Ekeremor,Ekeremor,,Male
U72,67,Female,Benue,Benue,2023-01-02 7:00:52,Uch-0073,Welder,49,Advance,Yes,Card,Available,Medium,2.925714657,2.148906306,Yes,Uchechi Ibe,Ogbadibo,Ogbadibo,,Female
U73,31,Male,Jigawa,Jigawa,2023-01-02 7:27:04,Ali-0074,Plumber,59,On-Demand,No,Card,Available,Low,2.368708789,2.012030795,Yes,Aliyu Ibrahim,Kaugama Kazaure,Kaugama Kazaure,,Male
U74,57,Male,Adamawa,Adamawa,2023-01-02 7:53:17,Hau-0075,Carpenter,58,On-Demand,Yes,Cash,Available,High,2.676714422,2.690547707,Yes,Hauwa Abubakar,Michika,Michika,,Female
U75,55,Male,Delta,Delta,2023-01-02 8:19:29,Ais-0076,Hairdresser,58,Advance,No,Online Payment,Available,Low,1.898952926,2.119888461,No,Aisha Ali,Patani,Patani,,Female
U76,50,Male,Katsina,Katsina,2023-01-02 8:45:42,Fat-0077,Event Planner,43,Advance,No,Card,Available,High,2.683277579,1.697082588,Yes,Fatima Ibrahim,Kusada,Kusada,,Female
U77,41,Female,Bayelsa,Bayelsa,2023-01-02 9:11:54,Uch-0078,Interior Decorator,62,On-Demand,No,Cash,Available,Low,2.717252636,4.127389939,Yes,Uchechi Okafor,Kolokuma/Opokuma,Kolokuma/Opokuma,,Female
U78,27,Female,Delta,Delta,2023-01-02 9:38:07,Uma-0079,Electrician,66,On-Demand,Yes,Online Payment,Available,Low,2.388494397,2.33660382,Yes,Umar Yusuf,Ethiope East,Ethiope East,,Male
U79,65,Female,Plateau,Plateau,2023-01-02 10:04:20,Chi-0080,Makeup Artist,23,Advance,Yes,Card,Available,Low,2.815190472,4.256038056,No,Chizoba Onyeka,Jos North,Jos North,,Female
U80,60,Male,Imo,Imo,2023-01-02 10:30:32,Chi-0081,Plumber,30,Advance,Yes,Cash,Available,Low,3.305080771,1.584361357,No,Chizoba Okafor,Okigwe,Okigwe,,Female
U81,23,Male,Niger,Niger,2023-01-02 10:56:45,Olu-0082,Tiler,19,Advance,Yes,Online Payment,Available,High,3.084143762,1.565485601,No,Oluwakemi Ajayi,Gbako,Gbako,,Female
U82,50,Male,Edo,Edo,2023-01-02 11:22:57,Olu-0083,Event Planner,21,Advance,Yes,Card,Available,Medium,1.537547221,4.079781573,No,Oluwatoyin Adebiyi,Esan South-East,Esan South-East,,Female
U83,55,Female,Zamfara,Zamfara,2023-01-02 11:49:10,Chi-0084,Hairdresser,46,Advance,Yes,Cash,Available,High,4.431617184,3.20847576,Yes,Chinonso Okoye,Gummi,Gummi,,Male
U84,26,Female,Yobe,Yobe,2023-01-02 12:15:22,Obi-0085,Tiler,56,On-Demand,No,Card,Available,Low,2.414147238,3.816410077,Yes,Obinna Okoye,Nguru Potiskum,Nguru Potiskum,,Male
U85,69,Female,Imo,Imo,2023-01-02 12:41:35,Olu-0086,Caterer,54,Advance,No,Card,Available,Low,3.910396676,2.823951091,No,Olufemi Ojo,Obowo,Obowo,,Male
U86,25,Female,Yobe,Yobe,2023-01-02 13:07:47,Abu-0087,Painter,59,Advance,Yes,Card,Available,Medium,2.493646978,2.801333319,No,Abubakar Yusuf,Gulani,Gulani,,Male
U87,37,Male,Nasarawa,Nasarawa,2023-01-02 13:34:00,Ife-0088,Tiler,42,Advance,No,Online Payment,Available,Medium,2.18639023,1.510454751,No,Ifeoma Okafor,Keffi,Keffi,,Female
U88,65,Female,Ebonyi,Ebonyi,2023-01-02 14:00:13,Fat-0089,Hairdresser,63,Advance,Yes,Online Payment,Available,Medium,4.507489184,2.087232402,Yes,Fatima Sani,Edda,Edda,,Female
U89,46,Female,Imo,Imo,2023-01-02 14:26:25,Ali-0090,Interior Decorator,70,Advance,No,Online Payment,Available,Medium,2.520604261,2.896498025,Yes,Aliyu Hassan,Njaba,Njaba,,Male
U90,55,Female,Ogun,Ogun,2023-01-02 14:52:38,Olu-0091,Tiler,34,Advance,Yes,Cash,Available,Medium,2.005399395,2.58293894,No,Oluwatobi Adebiyi,Shagamu,Shagamu,,Male
U91,57,Female,Jigawa,Jigawa,2023-01-02 15:18:50,Olu-0092,Furniture Maker,69,Advance,Yes,Online Payment,Available,High,4.001956228,3.112450328,Yes,Olufemi Ogunlana,Auyo,Auyo,,Male
U92,49,Female,Niger,Niger,2023-01-02 15:45:03,Olu-0093,Gardener,32,On-Demand,No,Card,Available,Low,4.631735583,3.498404207,Yes,Oluwatoyin Ojo,Rafi,Rafi,,Female
U93,33,Female,Plateau,Plateau,2023-01-02 16:11:15,Uch-0094,Barber,36,Advance,No,Online Payment,Available,High,1.211601318,3.982015,No,Uchechi Okeke,Kanam,Kanam,,Female
U94,28,Female,Benue,Benue,2023-01-02 16:37:28,Olu-0095,Graphic Designer,32,On-Demand,No,Online Payment,Available,Medium,4.316606571,1.232072886,Yes,Oluwatoyin Ajayi,Gwer East,Gwer East,,Female
U95,61,Female,Anambra,Anambra,2023-01-02 17:03:41,Uch-0096,Photographer,49,Advance,No,Online Payment,Available,Medium,2.681718713,2.869748793,Yes,Uchechi Eze,Njikoka,Njikoka,,Female
U96,40,Female,Imo,Imo,2023-01-02 17:29:53,Obi-0097,Hairdresser,33,On-Demand,No,Cash,Available,Medium,2.395750305,3.360818022,No,Obinna Okafor,Njaba,Njaba,,Male
U97,21,Female,Bayelsa,Bayelsa,2023-01-02 17:56:06,Uch-0098,Electrician,45,Advance,Yes,Online Payment,Available,Medium,2.706206043,2.482937561,Yes,Uchechi Okeke,Yenegoa,Yenegoa,,Female
U98,50,Female,Benue,Benue,2023-01-02 18:22:18,Chu-0099,Tailor,64,On-Demand,Yes,Online Payment,Available,Medium,1.520359999,1.473242565,No,Chukwudi Onyeka,Buruku,Buruku,,Male
U99,28,Female,Gombe,Gombe,2023-01-02 18:48:31,Ife-0100,Barber,26,Advance,No,Cash,Available,High,1.386050245,1.316890079,No,Ifeoma Okafor,Kaltungo,Kaltungo,,Female
